tid,cid,h,fecha,hora,estado,lat,lon
1011022,0,9,2018-8-1,09:53,disponible,4.5515603,-74.0862044
1011022,0,9,2018-8-1,09:53,disponible,4.551137,-74.0863169
1011022,0,9,2018-8-1,09:53,disponible,4.5504005,-74.0865091
1011022,0,9,2018-8-1,09:53,disponible,4.5495128,-74.0867271
1011022,0,9,2018-8-1,09:53,disponible,4.5487536,-74.0862983
1011022,0,9,2018-8-1,09:54,disponible,4.5480755,-74.0863465
1011022,0,9,2018-8-1,09:54,disponible,4.5472954,-74.0866474
1011022,0,9,2018-8-1,09:54,disponible,4.546768,-74.0869871
1011022,0,9,2018-8-1,09:54,disponible,4.5460219,-74.0873315
1011022,0,9,2018-8-1,09:54,disponible,4.5449578,-74.0878245
1011022,0,9,2018-8-1,09:54,disponible,4.5441151,-74.0882875
1011022,0,9,2018-8-1,09:55,disponible,4.5433882,-74.0886421
1011022,0,9,2018-8-1,09:55,disponible,4.5425877,-74.0890127
1011022,0,9,2018-8-1,09:55,disponible,4.5419798,-74.0893895
1011022,0,9,2018-8-1,09:55,disponible,4.5422015,-74.0901338
1011022,0,9,2018-8-1,09:55,disponible,4.5424083,-74.0908499
1011022,0,9,2018-8-1,09:56,disponible,4.542414,-74.0916437
1011022,0,9,2018-8-1,09:56,disponible,4.5423933,-74.0923669
1011022,0,9,2018-8-1,09:56,disponible,4.5423738,-74.0930577
1011022,0,9,2018-8-1,09:56,disponible,4.5422924,-74.0937298
1011022,0,9,2018-8-1,09:56,disponible,4.5422297,-74.0937882
1011022,0,9,2018-8-1,09:57,disponible,4.5419674,-74.0936628
1011022,0,9,2018-8-1,09:57,disponible,4.5420092,-74.0936224
1011022,0,9,2018-8-1,09:57,disponible,4.5420319,-74.0936269
1011022,0,9,2018-8-1,09:57,disponible,4.5420145,-74.0936539
1011022,0,9,2018-8-1,09:57,disponible,4.5420128,-74.0936541
1011022,0,9,2018-8-1,09:58,disponible,4.5420127,-74.093653
1011022,0,9,2018-8-1,09:58,disponible,4.5420154,-74.0936489
1011022,0,9,2018-8-1,09:58,disponible,4.5421795,-74.0937087
1011022,0,9,2018-8-1,09:58,disponible,4.5422716,-74.0937748
1011022,0,9,2018-8-1,09:58,disponible,4.542277,-74.0937419
1011022,0,9,2018-8-1,09:58,disponible,4.5423112,-74.0934443
1011022,0,9,2018-8-1,09:59,disponible,4.5423265,-74.0932765
1011022,0,9,2018-8-1,09:59,disponible,4.5422882,-74.0923911
1011022,0,9,2018-8-1,09:59,disponible,4.5424021,-74.0916238
1011022,0,9,2018-8-1,09:59,disponible,4.5425056,-74.0913806
1011022,0,9,2018-8-1,09:59,disponible,4.5426625,-74.0916519
1011022,0,10,2018-8-1,10:00,disponible,4.5426958,-74.0916377
1011022,0,10,2018-8-1,10:00,disponible,4.5430384,-74.0915603
1011022,0,10,2018-8-1,10:00,disponible,4.5434747,-74.0914072
1011022,0,10,2018-8-1,10:00,disponible,4.544238,-74.0912033
1011022,0,10,2018-8-1,10:00,disponible,4.5447894,-74.0911159
1011022,0,10,2018-8-1,10:00,disponible,4.5452007,-74.0909974
1011022,0,10,2018-8-1,10:01,disponible,4.5455385,-74.0917424
1011022,0,10,2018-8-1,10:01,disponible,4.5460961,-74.0915765
1011022,0,10,2018-8-1,10:01,disponible,4.5464133,-74.0914104
1011022,0,10,2018-8-1,10:01,disponible,4.5470874,-74.0912104
1011022,0,10,2018-8-1,10:01,disponible,4.5475741,-74.0911983
1011022,0,10,2018-8-1,10:01,disponible,4.5481474,-74.0917656
1011022,0,10,2018-8-1,10:02,disponible,4.5484641,-74.0918522
1011022,0,10,2018-8-1,10:02,disponible,4.549036,-74.0916872
1011022,0,10,2018-8-1,10:02,disponible,4.5492126,-74.0916693
1011022,0,10,2018-8-1,10:02,disponible,4.5492217,-74.0916545
1011022,0,10,2018-8-1,10:02,disponible,4.5491545,-74.0916522
1011022,0,10,2018-8-1,10:02,disponible,4.5495251,-74.0915737
1011022,0,10,2018-8-1,10:03,disponible,4.5499556,-74.0914089
1011022,0,10,2018-8-1,10:03,disponible,4.5504717,-74.0913032
1011022,0,10,2018-8-1,10:03,disponible,4.551053,-74.091039
1011022,0,10,2018-8-1,10:03,disponible,4.5513114,-74.0909734
1011022,0,10,2018-8-1,10:03,disponible,4.5515562,-74.0916757
1011022,0,10,2018-8-1,10:04,disponible,4.5516898,-74.0919099
1011022,0,10,2018-8-1,10:04,disponible,4.5517418,-74.0920285
1011022,0,10,2018-8-1,10:04,disponible,4.5517017,-74.092036
1011022,0,10,2018-8-1,10:04,disponible,4.5518308,-74.0923966
1011022,0,10,2018-8-1,10:04,disponible,4.5519209,-74.0929425
1011022,0,10,2018-8-1,10:04,disponible,4.5520205,-74.0933291
1011022,0,10,2018-8-1,10:05,disponible,4.552153,-74.0936726
1011022,0,10,2018-8-1,10:05,disponible,4.5522015,-74.0939489
1011022,0,10,2018-8-1,10:05,disponible,4.5521992,-74.0945154
1011022,0,10,2018-8-1,10:05,disponible,4.552125,-74.0952925
1011022,0,10,2018-8-1,10:05,disponible,4.5520629,-74.0958496
1011022,0,10,2018-8-1,10:05,disponible,4.5520541,-74.0959395
1011022,0,10,2018-8-1,10:06,disponible,4.5520182,-74.0960566
1011022,0,10,2018-8-1,10:06,disponible,4.5519632,-74.0963782
1011022,0,10,2018-8-1,10:06,disponible,4.5518191,-74.09725
1011022,0,10,2018-8-1,10:06,disponible,4.5519986,-74.0979082
1011022,0,10,2018-8-1,10:06,disponible,4.551779,-74.0983072
1011022,0,10,2018-8-1,10:06,disponible,4.5515073,-74.0985701
1011022,0,10,2018-8-1,10:07,disponible,4.5510082,-74.0990798
1011022,0,10,2018-8-1,10:07,disponible,4.550525,-74.099564
1011022,0,10,2018-8-1,10:07,disponible,4.5499861,-74.1000245
1011022,0,10,2018-8-1,10:07,disponible,4.5496771,-74.1002799
1011022,0,10,2018-8-1,10:07,disponible,4.5490157,-74.1008367
1011022,0,10,2018-8-1,10:07,disponible,4.5484259,-74.1013452
1011022,0,10,2018-8-1,10:08,disponible,4.547632,-74.1022082
1011022,0,10,2018-8-1,10:08,disponible,4.5466559,-74.1027559
1011022,0,10,2018-8-1,10:08,disponible,4.5466136,-74.1036013
1011022,0,10,2018-8-1,10:08,disponible,4.5472235,-74.1041337
1011022,0,10,2018-8-1,10:08,disponible,4.54762,-74.1045363
1011022,0,10,2018-8-1,10:09,disponible,4.5483396,-74.1052157
1011022,0,10,2018-8-1,10:09,disponible,4.5489548,-74.1057459
1011022,0,10,2018-8-1,10:09,disponible,4.5497572,-74.1065122
1011022,0,10,2018-8-1,10:09,disponible,4.5504886,-74.1075318
1011022,0,10,2018-8-1,10:09,disponible,4.5506674,-74.1080137
1011022,0,10,2018-8-1,10:09,disponible,4.5508232,-74.1083093
1011022,0,10,2018-8-1,10:10,disponible,4.5514113,-74.1081773
1011022,0,10,2018-8-1,10:10,disponible,4.5523251,-74.1079845
1011022,0,10,2018-8-1,10:10,disponible,4.5526664,-74.1081612
1011022,0,10,2018-8-1,10:10,disponible,4.5528197,-74.1084441
1011022,0,10,2018-8-1,10:10,disponible,4.5532954,-74.1084741
1011022,0,10,2018-8-1,10:10,disponible,4.5541275,-74.1083487
1011022,0,10,2018-8-1,10:11,disponible,4.5545248,-74.1082667
1011022,0,10,2018-8-1,10:11,disponible,4.555129,-74.1081121
